What is a keyword that associates an identifier with a value or function	let
What is the let value binding syntax?	let identifier-or-pattern [: type] =&nbsp;<div>&nbsp; &nbsp; expression</div><div>body-expression</div>
What is the let function binding syntax?	let identifier parameter-list [:return-type] =<div>&nbsp; &nbsp; expression</div><div>body-expression</div>
What is the scope of let?	Limited to the portion of the containing scope (function, module, file or class) after the binding appears
If you separate the let expression from the identifier what must you do to the expression?	Indent each line
What is: let i, j, k = (1, 2, 3)?	Pattern that contains names.&nbsp;
What is the let body-expression?	The expression in which names are used.&nbsp;
Where may a let appear?	Module level, definition of a class type or in local scopes.&nbsp;
Where must a let have a body-expression?	Local scopes and functions, not at module level or in a class type.&nbsp;
Where are bound names usable?	After the point of definition but not at any point before the let binding appears.&nbsp;
How do function let bindings differ from value bindings?	Function bindings include the function name, parameter list and return type.&nbsp;
What is 'a' in let function a = a + 1	Name of the parameter
What is 'function' in let function a = a + 1	Name of the function.&nbsp;
What kind of parameter is this: let function2 (a, b) = a + b	This parameter is a pattern, specifically a tuple pattern.&nbsp;
What does a let binding expression evaluate to?	The value of the last expression.&nbsp;
What is being applied to the parameter: let function1 (a: int) = a + 1	Type annotation
What does the second 'int' define: let function1 (a: int) : int = a + 1	The return type of the function.&nbsp;
Where can a let binding not appear?	A let binding may not appear in a structure or record type.&nbsp;
What is required of a class to contain a let binding?	A primary constructor ex. type MyClass(a) = ...
What is the default visibility for a let binding contained within a class?	private
What is the scope of a let within a type.&nbsp;	Scope is limited to the type (and likely also all previous scope rules apply as well).
Where may let bindings contain explicit type parameters?	At the module level, in a type or in a computation expression.&nbsp;
What can be applied to top-level let bindings of a module?	Attributes:&nbsp;<div>[&lt;Obsolete&gt;]</div><div>let function1 x y = x + y</div>
When is a let-bound value in a module accessible to clients?	When the module is accessible.
When are let-bindings in a class accessible to clients?	Never, they are private to the class.&nbsp;
How do clients refer to let-bound values in a module they have access to?	By using the fully-qualified name: ModuleName.FunctionName.&nbsp;
How do clients refer to let-bound values in an accessible module without full qualification?	By using an import declaration such as: open Module1
How does a module force clients to use fully qualified names?	By using the RequireQualifiedAccess attribute at the module level.&nbsp;
What is a do binding used for?	A do binding is used to execute code without defining a function or value.&nbsp;
What does the expression of a do binding return?	unit
When is the code in a top-level (module) do binding executed?	When the module is initialized.&nbsp;
What is the do binding syntax?	[ attributes ]<div>[ do ]expression</div>
